pid,modal,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,pCR_label
1,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},2009fabc1eefa2e17912959c7ab470898d5c94d6,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999971389770508)","(512, 512, 104)",210.704695,0,3087,53ec09121d1386ad84b594c296aa208865c64e1a,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 104)","(156, 264, 66, 21, 17, 1)",155,1,"(165.2516129032258, 272.7806451612903, 66.0)","(64.21290165916567, 6.1492647128720535, 73.2313003540039)",0.458191836,0,0,12.92406647,9.844199538,6.562799692,13.67249936,13.67249936,61.76394586,5.921701741,0.546140397,138.3576505,2.240103812,69.54052016,620.2,1140.8,135775667,3.074918816,244,3.999093291,1440,167.1136733,910.6516129,947,168,1272,109.3928217,935.9337825,-0.672547838,60915551.67,0.143558793,46685.68508,79.70837374,8.775070124,711.0450564,-27.33277743,13.44400688,2.633419192,0.664982099,1.141768065,1.916959035,1.264710851,0.040484195,5.152068148,-0.262678361,0.881061992,0.560541601,0.987345271,0.597368556,0.929489523,0.47244536,0.098048951,3.744164871,4.019356517,15.17866836,0.131458312,5.337883576,76.35900926,2.474122837,206.9032167,0.049037601,0.029016694,4.038699038,72.42118135,0.619108977,0.74516129,0.621521226,0.812277312,60.44889017,0.026090802,6.543859649,0.114804555,6.624192059,68.12280702,19.35087719,1728.368421,0.27220224,0.041571048,17.59649123,0.308710372,0.564354941,33.23573011,0.032079355,4.578785743,0.367741935,11.95629424,5.166046345,29.03870968,0.187346514,2.824308012,22.2516129,4.711592092,79.11612903,12.05806452,1053.464516,0.171614947,0.025191215,0.286910468,18.76710563,0.013294484,1
2,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},e4d0fe0f6f3ddc91ee3dc60eed399713660f94e3,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)",76.90008392,0,1184,03b3bff206345c901f0c7ab94408f7c404e7a0ae,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)","(104, 270, 19, 31, 40, 9)",3069,1,"(120.73737373737374, 290.3580971000326, 22.90713587487781)","(77.90056220088343, 7.181163221549127, 8.127704010680972)",0.675662877,0.568662978,10.34182613,18.18621314,16.59330458,20.70268166,20.93712967,21.66711894,1169.028156,12.28774908,0.55932813,959.4759878,0.820746688,1187.062298,242,363,290428761,1.143188236,65,2.805903428,431,37.4030476,304.1410883,307,140,291,26.97521235,307.6248159,-0.247473945,112335298.9,0.485692651,2131.225777,7.081834644,2.638431913,1.493733081,-0.368357167,0.771133177,0.291334509,0.448390977,0.287706138,0.8666806,0.205260609,0.326279848,1.970188566,-0.1588499,0.510852029,0.856509768,0.982926706,0.85675166,0.942579718,0.284531313,0.490563929,1.667481851,0.265616922,634.778431,0.475188241,0.327947758,5.971065427,10.77337858,81.17248751,1.673128955,0.218783464,3.305827169,416.2143077,0.295855941,0.434067724,4.27717328,0.538896077,2.792598981,0.137783543,9.153846154,0.352071006,1.640532544,6.115384615,173038.1154,1242088.846,27993.71127,0.56383547,6.846153846,0.263313609,0.511019482,3.717772687,0.263551281,3.393740932,0.008471815,159105.037,5.402695897,130.2883675,0.042453036,44.12785525,1490.590746,0.292983759,6.802215705,291.0651678,2270.733138,42.32935312,0.183463216,0.014119946,0.081595587,0.005116115,1
3,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},39c935b0b42814b212f782d0374bfb02abd4c844,3D,"(0.5077999830245972, 0.5077999830245972, 1.5000035762786865)","(512, 512, 112)",82.43834615,0,1037,a80e3654fc27e460694304d6398d46ccd971b788,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 112)","(127, 298, 39, 6, 17, 4)",200,1,"(129.195, 305.975, 40.65)","(68.44977386891843, -55.750602796673775, 18.882600402832026)",0.554377133,0.335820765,2.843876474,8.468435449,6.19038925,8.551732581,8.266384822,9.521904541,73.42604434,4.694706961,0.727210423,116.6068646,1.588085884,77.35843126,195.6,349.1,15881781,1.371592313,80.25,2.670812886,374,46.3925,275.825,281,121,253,33.01273438,281.795857,-0.500551334,6142948.319,0.4194,3329.474375,5.854569076,2.394257354,2.516097126,-0.454569996,0.97905483,0.496147282,0.322960641,0.47155398,1.042837881,0.263972804,0.214917255,2.431208057,-0.099630665,0.431877273,0.76668234,0.951520347,0.768321893,0.88334117,0.450034842,0.280653761,1.913949017,0.368800528,54.89350853,0.414189571,0.428990158,5.025134441,3.594383285,21.71999086,0.845878161,0.324514553,2.597023885,66.88559771,0.481540665,0.661538462,0.86288435,0.698098714,3.130070845,0.259703371,5.666666667,0.62962963,0.444444444,2.222222222,1822.888889,10295.77778,380.7160494,0.817901235,1.888888889,0.209876543,0.378022501,0.378215644,0.37799676,2.419381946,0.045,1329.061728,4.923638853,13.31,0.06655,19.95,83.88,0.4124,5.52,115.99,793.23,20.99111111,0.281111111,0.03958742,0.098866415,0.028284788,0
4,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},0a77155906ed3aca19fa896186520443e43319c5,3D,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)",90.44793801,0,1011,32fea1767ab16dc7b02c70fca52a76666e8855d5,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)","(426, 218, 47, 9, 18, 5)",255,1,"(430.9843137254902, 226.17254901960786, 48.94509803921569)","(-79.70144808035272, 17.98330763134301, 39.01844661937041)",0.477869859,0.328065345,3.142237127,9.578083061,6.838779053,10.60716751,8.307157312,11.03369781,80.06621419,4.577077201,0.645308248,139.2140617,1.738736658,84.06334378,306.2,478.4,40612644,1.602255346,91,3.054067282,586,54.01663975,393.145098,396,203,383,36.83904002,399.0805315,-0.043947506,13388371.19,0.373871588,4702.202476,6.83248472,2.569394929,6.580342791,-0.149956484,1.53070127,0.610460744,0.431937868,0.531794312,1.161753498,0.316937951,0.163897922,2.979350199,-0.125399251,0.536081468,0.741969487,0.965478776,0.747213916,0.896263352,0.462961184,0.262728739,2.317814457,0.535290503,62.84204744,0.359271648,0.59172256,6.24934468,3.144538283,21.37758624,0.691290182,0.273813239,2.863309816,91.71716947,0.507491826,0.683861237,0.74768242,0.72355822,4.292199157,0.217587734,4.846153846,0.372781065,1.207100592,4.615384615,1676.846154,11149.61538,311.6159188,0.614316239,4.230769231,0.325443787,0.559169022,1.952056915,0.428404617,2.807390451,0.050980392,1292.08284,5.152434542,19.26666667,0.075555556,15.79490965,95.3372549,0.544805844,6.51372549,100.7960784,725.9647059,18.56533224,0.248883442,0.050238965,0.207275893,0.029371147,1
5,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},3bf98b5e90daa421d76aa072cd1beb7bc43b2ce9,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999964237213135)","(512, 512, 112)",89.55637121,0,1231,d49079c03139ef51b3b05bf091afc2881ae1bbfc,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 112)","(158, 266, 62, 33, 29, 12)",4609,1,"(175.14949012801043, 279.1740073768713, 67.85181167281407)","(52.54374089595888, 3.3317359356772727, 35.62211600775626)",0.859537191,0.660540307,11.62808676,17.6039019,20.29621063,19.21345795,19.58176866,21.85722018,2053.23896,15.1312084,0.668584308,1168.479084,0.569090645,2067.82003,308,582,1054037236,2.057518459,145,2.837596388,688,84.45527572,466.8205685,490,117,571,60.60156682,478.2165728,-0.708238888,472892017.5,0.283614214,10769.64734,19.49695952,4.345724764,32.04149676,-4.050630031,3.166470355,0.728602411,0.620581048,0.562230956,1.283273632,0.392871457,0.147691073,3.430268593,-0.214569799,0.719355301,0.73549882,0.981078655,0.745376016,0.922592531,0.428178777,0.310742283,2.715945174,0.973768191,612.0464518,0.237829735,1.343064368,16.28714071,6.564285425,136.9820602,0.414677079,0.104430403,3.781873005,1195.498894,0.444712186,0.555868952,2.725658734,0.682355568,9.801684612,0.083737185,21.05063291,0.266463708,2.575228329,9.708860759,72507.93671,1533103.215,3882.163108,0.344542897,15.53164557,0.196603108,0.431661795,3.554336107,0.174517982,4.514640635,0.017140378,69104.17433,6.018397237,208.8255587,0.045308214,44.42957073,1307.177913,1.166489517,18.59969625,201.8669993,4621.610328,9.970512403,0.083224127,0.025646897,0.287151449,0.006112808,1
6,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},905ec7aa66debf4cb77139704351e5ddf4c08243,3D,"(0.5273000001907349, 0.5273000001907349, 1.500002145767212)","(512, 512, 92)",114.937659,0,1492,5b7cbd192a041b30bfb8cb123535e232d242f013,"(0.5273000001907349, 0.5273000001907349, 1.5001983642578125)","(512, 512, 92)","(380, 322, 52, 12, 17, 4)",210,1,"(386.76190476190476, 331.56190476190477, 53.285714285714285)","(-67.47255721546355, -34.98359342075531, -21.06185804094588)",0.473901086,0.451768178,4.067942372,9.004490724,7.649952386,8.3452731,7.838878053,10.9910835,82.44054648,4.267237929,0.654662909,139.9244569,1.697277164,87.5843917,292,420,26343920,1.261031162,66.75,2.6994086,469,41.25197279,350.4095238,346.5,221,248,29.52676037,354.185316,0.071965449,10987220.04,0.495283447,2660.403719,4.492974865,2.098890182,1.85146034,0.082199374,0.770191713,0.42336912,0.29147995,0.399861011,1.015546012,0.256281555,0.302266687,2.248966659,-0.085696216,0.381346364,0.802420305,0.958748078,0.803987513,0.901210153,0.379291416,0.50272485,1.787011862,0.298390208,56.98120513,0.420770551,0.426409171,4.241860128,4.051052927,17.68827842,1.214644025,0.402015676,2.64254438,64.97425627,0.462255451,0.639194139,1.140715056,0.680239672,2.738927835,0.313146142,5.4,0.54,0.65,2.9,2033.4,8426.5,518.0138889,0.747222222,1.4,0.14,0.151429179,0.159336277,0.150548456,3.121928095,0.047619048,1592.4,4.816625297,12.92380952,0.06154195,23.31201814,104.0095238,0.338072562,4.357142857,131.0761905,581.9571429,33.04378307,0.351190476,0.033321523,0.080529582,0.024818052,1
7,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},dfd267dad4f69dedd968c4cfbd686dd8d98c2b72,3D,"(0.6445000171661377, 0.6445000171661377, 1.5)","(512, 512, 92)",58.33906626,0,1084,a208503deb5a07f546cc978e64516e40b95f910f,"(0.6445000171661377, 0.6445000171661377, 1.5)","(512, 512, 92)","(111, 264, 55, 9, 7, 2)",45,1,"(115.88888888888889, 267.0, 55.44444444444444)","(85.70261449284024, 6.303489923477173, 17.401262919108063)",0.721727932,0.534130492,2.576815157,4.824317641,5.417899347,4.402783983,5.836195877,5.836195877,24.27378465,3.481844795,0.754313719,53.74735719,2.214214139,28.03816837,129.2,235.6,1546065,0.918295834,50,2.331973327,257,30.29925926,181.4888889,180,105,152,20.8555102,185.3564134,0.023645232,963307.3506,0.555555556,1418.78321,2.221443909,1.465518749,0.65162499,0.078732488,0.636167191,0.350224675,0.2912573,0.350224675,0.875217725,0.211167364,0.295636703,1.860692079,-0.12124912,0.319161732,0.824887663,0.929955065,0.824887663,0.883258442,0.350224675,0.373410428,1.510467405,0.246597967,19.14509209,0.586124488,0.206937756,1.880670914,2.465968737,5.122279492,1.801891048,0.779832272,1.778635915,19.15054868,0.562488313,0.728205128,0.372873561,0.734102868,1.259475693,0.602759662,1,0.5,0.25,2.5,562.5,900,478.125,0.625,1,0.5,0.002777778,0.009444444,0.001111111,1,0.044444444,56.25,3.788982197,5.4,0.12,7.44,25,0.222222222,2,72.51111111,182.3111111,45.06111111,0.75,0.025060603,0.036187684,0.022278832,1
8,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},df726c0808604198565ff42be6e1a4da5be92f8d,3D,"(0.625, 0.625, 1.5)","(512, 512, 108)",81.28862367,0,1024,8b1801687183d8ba3fbb5cdcf19643a7aef80c3e,"(0.625, 0.625, 1.5)","(512, 512, 108)","(112, 290, 55, 11, 10, 2)",71,2,"(117.87323943661971, 294.3098591549296, 55.352112676056336)","(93.75122242242517, -14.852658553862256, -6.762831352126426)",0.67096343,0.324542692,2.586465706,7.969570011,6.25,6.427480066,8.149003007,8.541260153,32.27539063,5.347290027,0.486517534,100.7627394,3.121968084,41.6015625,198,244,3567210,0.586447703,25.5,3.322989216,260,15.82424122,223.2957746,228,164,96,11.60760999,224.1481527,-0.790333093,2090162.109,0.757984527,381.3913906,3.836683197,1.956359008,0.162072864,-0.109600327,0.097458489,0.064787652,0.325635004,0.064787652,0.315557044,0.058719185,0.860157745,0.446822555,-0.052923751,0.129442963,0.967606174,0.98704247,0.967606174,0.978404116,0.064787652,0.923965182,0.382034903,0.040561535,35.44084742,0.688597796,0.155701102,3.415385605,3.190136289,12.0300574,0.98015601,0.396153599,1.693805805,29.89956404,0.554869918,0.716143012,0.805449771,0.747050281,2.43089756,0.326088461,5.545454545,0.504132231,0.247933884,2.363636364,287.9090909,1145.090909,73.61363636,0.659090909,5,0.454545455,0.687528989,1.573979592,0.465916338,2.299896391,0.154929577,246.2479339,3.965596944,5.309859155,0.074786749,18.91172386,53.81690141,0.121007737,3.577464789,89.14084507,353.943662,22.94014085,0.355633803,0.128379186,0.308704536,0.083297848,0
9,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},b19a626c1f35006ab10e0aaad2d26db9883fad7a,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 104)",93.43566432,0,1319,c96b11248d8bf50fa061bea0b05df0d7fc6889e5,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 104)","(425, 244, 45, 16, 19, 7)",872,1,"(433.2178899082569, 253.73853211009174, 48.04128440366973)","(-84.22604373316153, 5.144573917629515, 3.3183276675163142)",0.687622396,0.608840995,6.541507312,10.74419654,11.6634507,12.40276094,9.859692195,14.79220762,329.7717597,7.387950163,0.712233817,324.0936402,0.982781668,337.2819562,292.2,604,212114258,2.1583446,150,2.954888968,678,92.65401692,479.690367,504,142,536,65.19816374,493.2041118,-0.790898559,82043935.63,0.264282257,13147.44771,20.9009812,4.500131123,45.54899474,-5.858933869,3.718743298,1.133604555,0.525420716,0.741644966,1.457210685,0.523650242,0.118472225,3.689275094,-0.19076791,0.682947287,0.668041565,0.971325073,0.690058141,0.900826773,0.43834123,0.262056227,2.791523376,1.213086963,134.3336967,0.233912741,1.515791323,18.14210035,4.296212811,92.33078142,0.299722474,0.100895644,3.493067031,320.3170957,0.52704514,0.656051517,1.414659752,0.740994515,12.24346406,0.084544256,6.533333333,0.217777778,2.062222222,9.533333333,6065.933333,134601.6,320.9521481,0.335768519,7.733333333,0.257777778,0.516281563,2.635368942,0.232191501,3.707751647,0.03440367,5221.062222,5.787820582,52.64908257,0.060377388,31.21001494,230.4541284,1.387230662,19.84174312,130.0665138,3201.011468,6.364788481,0.085811672,0.04248683,0.462161813,0.010881851,1
10,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},7979df09a88b2b426f8d3ab3735f3574e9f04988,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 100)",93.83037842,0,1104,4d37ed8c54be205d91acd6de358cdf1484adc216,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 100)","(53, 208, 47, 10, 11, 4)",183,1,"(58.114754098360656, 212.6775956284153, 48.62841530054645)","(102.81333398232695, 38.02731444666294, -13.426578709336582)",0.826827481,0.753563669,4.227297181,5.609741225,6.515099429,6.729263676,5.301587468,7.029136703,67.41448885,4.638288206,0.743436559,107.7479563,1.598290784,70.78279585,298,383,21314568,0.747192585,49,3.408794005,406,27.56988862,339.5300546,342,218,188,19.65782776,341.2814809,-0.450937714,8244288.062,0.725044044,1192.391173,3.819592771,1.949904039,0.515174005,-0.065431066,0.304405343,0.235157218,0.128647536,0.233537785,0.784706515,0.179971783,0.573263044,1.372333465,-0.041768264,0.226752675,0.883393051,0.976559021,0.883501013,0.941696525,0.232120781,0.746485599,1.133433256,0.13489064,55.65546087,0.571135243,0.254261302,3.612095387,5.684299631,22.21939216,1.638594948,0.410995806,2.583346007,34.66626148,0.348965877,0.525851198,1.582975412,0.580513122,1.952335351,0.295565019,5.4,0.54,0.65,2.9,2390.9,9526.5,609.8888889,0.747222222,2.2,0.22,0.390809772,1.222822422,0.298362165,2.646439345,0.054644809,2056.01,4.554739696,9.535519126,0.052106662,38.4389501,132.6830601,0.149840246,3.786885246,216.0710383,862.4535519,55.03400121,0.339708561,0.03984382,0.113021302,0.029540409,1
