pid,modal,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,pCR_label
1,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},673100b98914ecf5acc095b4131051b0184000a8,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999971389770508)","(512, 512, 104)",40.77737621,-496,7221,53ec09121d1386ad84b594c296aa208865c64e1a,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 104)","(156, 264, 66, 21, 17, 1)",155,1,"(165.2516129032258, 272.7806451612903, 66.0)","(64.21290165916567, 6.1492647128720535, 73.2313003540039)",0.458191836,0,0,12.92406647,9.844199538,6.562799692,13.67249936,13.67249936,61.76394586,5.921701741,0.546140397,138.3576505,2.240103812,69.54052016,267.8,470,21363656,1.748359196,106,3.091668105,601,64.88432882,362.4387097,352,222,379,45.88538568,371.2546817,0.652070843,9584772.586,0.341768991,6468.220437,5.011756022,2.119520591,20.27825469,2.646976872,2.59442829,0.517150738,0.669054253,0.476268842,1.090179854,0.283026984,0.144319533,3.154455281,-0.249564245,0.759845058,0.765953768,0.980434907,0.768679228,0.921595238,0.440497183,0.266964646,2.605958651,0.777894757,28.87041266,0.335309504,0.750887121,5.557713599,4.867641638,23.1591029,1.92591266,0.356858693,3.382742116,33.72121263,0.382898261,0.553225806,1.409074311,0.622708413,3.614132965,0.204308804,3.933333333,0.262222222,1.288888889,6.733333333,239.9333333,1148.666667,75.3822963,0.386462963,1.666666667,0.111111111,0.252364546,2.809274002,0.046289697,3.906890596,0.096774194,133.1555556,4.350373477,25.52903226,0.164703434,3.031592092,52.97419355,0.709094693,5.187096774,23.95483871,109.3806452,10.2133405,0.381799283,0.08993035,0.622308395,0.027172993,1
2,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},84128e7bea100b7045ef0c203adb52acd30aa298,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)",17.11755193,-25,508,03b3bff206345c901f0c7ab94408f7c404e7a0ae,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)","(104, 270, 19, 31, 40, 9)",3069,1,"(120.73737373737374, 290.3580971000326, 22.90713587487781)","(77.90056220088343, 7.181163221549127, 8.127704010680972)",0.675662877,0.568662978,10.34182613,18.18621314,16.59330458,20.70268166,20.93712967,21.66711894,1169.028156,12.28774908,0.55932813,959.4759878,0.820746688,1187.062298,50,97,16695194,0.450229435,21,5.275302826,161,14.70937568,70.9273379,67,32,129,8.95509225,73.75598898,1.350060181,6457554.691,0.829400067,409.2586498,1.248258926,1.091277382,0.739835605,0.416662459,0.280590847,0.051146442,0.690076071,0.051146442,0.288963724,0.048381855,0.7857495,0.683965362,-0.446388076,0.565914762,0.974426779,0.989770712,0.974426779,0.982951186,0.051146442,0.883149397,0.63281892,0.082934322,559.8791499,0.716073234,0.141963383,1.517017662,36.45475505,40.97778217,35.32399827,0.870745584,3.660780848,122.2149345,0.145334983,0.252299672,13.20575866,0.316692557,0.555964114,0.256874667,6.25,0.78125,0.109375,3.625,972819.125,993126.5,967742.2813,0.34375,1.25,0.15625,0.261103767,1.044415021,0.065275954,2.75,0.002606712,825650.9844,4.325072834,341.6432063,0.111320693,38.79057617,2545.428804,0.085299967,1.282502444,456.5927012,534.2554578,437.1770121,0.929374389,0.005239867,0.01029747,0.003975467,1
3,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},bf675ec9b4254ed35c3c6ea74bb32806e9f1c2c3,3D,"(0.5077999830245972, 0.5077999830245972, 1.5000035762786865)","(512, 512, 112)",22.64450482,-126,1576,a80e3654fc27e460694304d6398d46ccd971b788,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 112)","(127, 298, 39, 6, 17, 4)",200,1,"(129.195, 305.975, 40.65)","(68.44977386891843, -55.750602796673775, 18.882600402832026)",0.554377133,0.335820765,2.843876474,8.468435449,6.19038925,8.551732581,8.266384822,9.521904541,73.42604434,4.694706961,0.727210423,116.6068646,1.588085884,77.35843126,165.8,335,14160251,1.611596311,84,3.185404876,356,51.7075,257.975,268,61,295,36.51988735,266.0850522,-0.792316024,5477074.018,0.36265,4250.154375,10.56136419,3.202146823,8.03128335,-1.380503144,1.683006053,0.455912881,0.572807135,0.447459795,0.959992068,0.236594544,0.182885179,2.676602695,-0.250001932,0.712661765,0.777115411,0.973330767,0.77767895,0.91078981,0.440063346,0.255242753,2.221164403,0.534729733,46.6748808,0.359744404,0.610295604,9.544557438,4.082509236,43.83665688,0.509494905,0.158674042,2.89645087,65.40474059,0.470890028,0.647692308,0.946239869,0.667066992,5.949244224,0.116659104,1.666666667,0.277777778,1.138888889,5.833333333,2404.666667,25228.16667,265.9270833,0.445601852,1.333333333,0.222222222,0.343946131,0.845128852,0.218788647,2.584962501,0.03,1293.555556,5.046692086,16.26,0.0813,15.5244,72.53,0.587775,10.105,118.75,1384.875,12.70538194,0.143020833,0.026786792,0.162353181,0.009774758,0
4,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},03f30c78bcaeb544158ced65f18e056be5865117,3D,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)",21.29761778,-73,1758,32fea1767ab16dc7b02c70fca52a76666e8855d5,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)","(426, 218, 47, 9, 18, 5)",255,1,"(430.9843137254902, 226.17254901960786, 48.94509803921569)","(-79.70144808035272, 17.98330763134301, 39.01844661937041)",0.477869859,0.328065345,3.142237127,9.578083061,6.838779053,10.60716751,8.307157312,11.03369781,80.06621419,4.577077201,0.645308248,139.2140617,1.738736658,84.06334378,109,194.6,5806286,0.736278626,43.5,3.163229272,250,26.75798539,146.9254902,144,85,165,18.42618224,150.8964845,0.727638855,1914101.24,0.74200692,1182.64935,4.245883877,2.046912783,0.985014196,0.161978225,0.362615552,0.138934797,0.4311565,0.138934797,0.572606754,0.118259189,0.653326795,1.18097616,-0.21199065,0.463044107,0.930532601,0.98610652,0.930532601,0.965266301,0.138934797,0.802832458,1.042041363,0.125387587,76.17935094,0.621962775,0.22843999,4.35772195,8.285608401,34.71517383,2.159176225,0.306077762,2.735806748,39.28251484,0.303228456,0.476923077,2.30301895,0.489960164,2.149436566,0.172937233,1.5,0.375,0.6875,3.75,12045.75,48746.75,3017.444444,0.590277778,1,0.25,0.030321744,0.034118244,0.029897719,2,0.015686275,7981.6875,4.786765985,13.42352941,0.052641292,32.60078431,189.2117647,0.143852364,4.28627451,245.7607843,1016.317647,61.79694989,0.278649237,0.010759499,0.039166614,0.005357909,1
5,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},e873a9e434fbb97c4c34b32853996c33ce19178e,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999964237213135)","(512, 512, 112)",23.40378857,-127,1619,d49079c03139ef51b3b05bf091afc2881ae1bbfc,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 112)","(158, 266, 62, 33, 29, 12)",4609,1,"(175.14949012801043, 279.1740073768713, 67.85181167281407)","(52.54374089595888, 3.3317359356772727, 35.62211600775626)",0.859537191,0.660540307,11.62808676,17.6039019,20.29621063,19.21345795,19.58176866,21.85722018,2053.23896,15.1312084,0.668584308,1168.479084,0.569090645,2067.82003,71,178,89412393,0.935384671,62,2.509250059,283,34.72636579,132.9726622,143,23,260,26.17162978,139.2821638,-0.434542633,40114718.41,0.604280794,1717.792266,3.39843703,1.806996209,1.467560468,-0.497857,0.65774676,0.125205984,0.678462044,0.125205984,0.540258526,0.108950116,0.528631192,1.420835415,-0.386738767,0.697216315,0.937397008,0.987479402,0.937397008,0.968698504,0.125205984,0.704341822,1.295629431,0.195738186,534.4471181,0.456581282,0.344122292,3.132513234,33.70985923,122.4762477,11.70662744,0.535365348,4.147442457,197.0034617,0.161700683,0.25325033,14.79626473,0.375531797,1.127515265,0.236945852,7.588235294,0.446366782,0.941176471,4.941176471,753212.0588,2803774.882,240703.5098,0.537581699,3.588235294,0.211072664,0.369064597,1.439228011,0.250157549,2.984234165,0.003688436,679707.2803,4.684782605,551.9733131,0.119759886,42.33702189,2785.13018,0.213408341,3.391842048,459.1293122,1628.257974,168.9999397,0.426146911,0.00646024,0.021188688,0.00387329,1
6,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},d1e0f01cdc1dd61c47c5ffb7531a779301b90f5b,3D,"(0.5273000001907349, 0.5273000001907349, 1.500002145767212)","(512, 512, 92)",27.2718765,-116,1938,5b7cbd192a041b30bfb8cb123535e232d242f013,"(0.5273000001907349, 0.5273000001907349, 1.5001983642578125)","(512, 512, 92)","(380, 322, 52, 12, 17, 4)",210,1,"(386.76190476190476, 331.56190476190477, 53.285714285714285)","(-67.47255721546355, -34.98359342075531, -21.06185804094588)",0.473901086,0.451768178,4.067942372,9.004490724,7.649952386,8.3452731,7.838878053,10.9910835,82.44054648,4.267237929,0.654662909,139.9244569,1.697277164,87.5843917,75.9,133,2623557,0.875391854,29,3.329243973,182,18.66190476,109.1666667,112,54,128,12.73996009,111.7726647,0.052745109,1094203.066,0.583854875,575.7674603,3.07272442,1.718660715,0.913143118,-0.485773837,0.640611418,0.166515452,0.587581091,0.166515452,0.634460158,0.13572073,0.460715835,1.457755016,-0.296906755,0.608385989,0.916742274,0.96669691,0.916742274,0.944494849,0.166515452,0.63540299,1.291239564,0.201781718,59.74730718,0.543217714,0.228391143,2.91063489,6.106845956,20.29420109,2.560007172,0.522341277,2.620132011,38.94134105,0.334528385,0.518681319,1.402763703,0.522660121,1.373767066,0.309883385,2.5,0.625,0.1875,1.75,6056.5,22484.5,1949.5,0.8125,1,0.25,0.009132878,0.009167118,0.009124318,2,0.019047619,3300.25,5.027438174,11.64761905,0.055464853,26.67836735,122.6095238,0.208072562,3.114285714,209.3142857,705.1714286,85.35,0.471428571,0.012384108,0.028144694,0.008443962,1
7,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},08337cd6740bb0de1aebf50c1345b8f9aacb368e,3D,"(0.6445000171661377, 0.6445000171661377, 1.5)","(512, 512, 92)",16.75123206,-29,442,a208503deb5a07f546cc978e64516e40b95f910f,"(0.6445000171661377, 0.6445000171661377, 1.5)","(512, 512, 92)","(111, 264, 55, 9, 7, 2)",45,1,"(115.88888888888889, 267.0, 55.44444444444444)","(85.70261449284024, 6.303489923477173, 17.401262919108063)",0.721727932,0.534130492,2.576815157,4.824317641,5.417899347,4.402783983,5.836195877,5.836195877,24.27378465,3.481844795,0.754313719,53.74735719,2.214214139,28.03816837,79.4,118.6,442823,0.982474087,22,2.387075007,130,12.99555556,97.93333333,97,61,69,9.273469388,99.19935036,-7.23E-05,275909.9074,0.512098765,249.5733333,2.092076995,1.411559127,0.712141858,0.177496527,0.672546917,0.28520077,0.401565977,0.28520077,0.811353582,0.190088136,0.331038021,1.765578043,-0.176226561,0.45714329,0.857399615,0.942959846,0.857399615,0.904933077,0.28520077,0.445840488,1.480377273,0.239436922,15.87761529,0.509891307,0.245054347,2.31209846,2.867144983,6.33259966,2.000781313,0.671975385,2.00916942,17.51332592,0.528796432,0.692307692,0.408771934,0.683779928,1.620765508,0.449533533,1.666666667,0.555555556,0.222222222,3,323,616,249.75,0.5,1,0.333333333,0.084979833,0.33844004,0.021614781,1.584962501,0.066666667,98,4.152638374,5.044444444,0.112098765,10.26666667,23.04444444,0.243950617,2.266666667,91.26666667,194,65.58333333,0.683333333,0.027143419,0.079872779,0.013961079,1
8,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},4662d9f95e346fb4e005087cbe32fa37bcd88c09,3D,"(0.625, 0.625, 1.5)","(512, 512, 108)",20.55282204,-135,1462,8b1801687183d8ba3fbb5cdcf19643a7aef80c3e,"(0.625, 0.625, 1.5)","(512, 512, 108)","(112, 290, 55, 11, 10, 2)",71,2,"(117.87323943661971, 294.3098591549296, 55.352112676056336)","(93.75122242242517, -14.852658553862256, -6.762831352126426)",0.67096343,0.324542692,2.586465706,7.969570011,6.25,6.427480066,8.149003007,8.541260153,32.27539063,5.347290027,0.486517534,100.7627394,3.121968084,41.6015625,32,63,161896,-3.20E-16,15.5,2.389610796,71,9.535806388,46.33802817,45,22,49,6.992305325,47.75170523,0.259980259,94860.9375,1,133.0124975,1,1,0,0,0,0,1,0,-3.20E-16,0,1,-3.20E-16,0,0,1,1,1,1,0,1,-3.20E-16,0,49.15384615,1,0,1,3.879677372,3.879677372,3.879677372,1,1.188259891,28.17390747,0.530400454,0.692307692,1.062714401,0.724498977,0.724498977,0.724498977,2,1,0,1,2190.5,2190.5,2190.5,1,1,0.5,0.020114784,0.020114784,0.020114784,1,0.028169014,930.25,3.749570144,5.450704225,0.076770482,15.35211268,71,0,1,96.35211268,96.35211268,96.35211268,1,0.035616394,0.035616394,0.035616394,0
9,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},97fea17762c031b42b43107e614670316538d000,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 104)",23.729279,-122,2078,c96b11248d8bf50fa061bea0b05df0d7fc6889e5,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 104)","(425, 244, 45, 16, 19, 7)",872,1,"(433.2178899082569, 253.73853211009174, 48.04128440366973)","(-84.22604373316153, 5.144573917629515, 3.3183276675163142)",0.687622396,0.608840995,6.541507312,10.74419654,11.6634507,12.40276094,9.859692195,14.79220762,329.7717597,7.387950163,0.712233817,324.0936402,0.982781668,337.2819562,73,308.9,36669437,1.919640293,123.5,2.480218049,426,70.80025619,186.2006881,180,42,384,52.34135638,205.0661031,0.398135807,14183416.79,0.288441103,7381.410412,6.747967564,2.456832576,24.49398614,0.691789829,3.203675482,0.358508298,0.798350284,0.355504182,0.924464617,0.224297614,0.146865273,3.092876779,-0.398262108,0.87942806,0.822548321,0.986235125,0.822748595,0.94082083,0.35287558,0.233627249,2.729564247,0.890545945,126.4692197,0.289841392,0.915867963,6.415190183,7.146443397,44.66522636,2.355584471,0.335708563,3.791725314,149.5875773,0.326616188,0.499735356,2.199128076,0.532002063,3.312753579,0.181251517,1.571428571,0.224489796,1.959183673,8.571428571,31143.42857,181720.1429,9077.471468,0.38765873,1,0.142857143,0.181511026,0.680310016,0.07155179,2.807354922,0.008027523,15625.38776,5.975043351,53.68807339,0.061568892,21.18114532,251.5206422,0.886708558,6.462155963,217.3738532,1420.790138,70.72489583,0.330460945,0.010294406,0.05855349,0.003899719,1
10,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},05d2f334d58fd1c169f3f040b0f82811cf0e55e1,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 100)",26.07663681,-111,1990,4d37ed8c54be205d91acd6de358cdf1484adc216,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 100)","(53, 208, 47, 10, 11, 4)",183,1,"(58.114754098360656, 212.6775956284153, 48.62841530054645)","(102.81333398232695, 38.02731444666294, -13.426578709336582)",0.826827481,0.753563669,4.227297181,5.609741225,6.515099429,6.729263676,5.301587468,7.029136703,67.41448885,4.638288206,0.743436559,107.7479563,1.598290784,70.78279585,78.4,182,3150411,1.08785499,60.5,2.096510251,209,31.82047837,125.6557377,122,60,149,24.33599174,131.2073194,0.323405074,1218551.359,0.51733405,1425.996238,3.078411672,1.702160162,1.707927563,-0.300252801,0.920654869,0.198393771,0.644639579,0.198393771,0.705348852,0.156228975,0.367476734,1.83337119,-0.357945342,0.726765471,0.900803115,0.980160623,0.900803115,0.950401557,0.198393771,0.531835204,1.634977419,0.27976216,45.05742416,0.491462709,0.303525199,3.208890269,6.317172776,19.71884378,3.058595189,0.500887136,2.885040072,31.16359346,0.320500622,0.501891551,1.334724399,0.491893735,1.67869751,0.240640449,1.5,0.375,0.5,4.5,4107.25,13577.25,1746.694444,0.402777778,1,0.25,0.025709966,0.152644756,0.00508738,2,0.021857923,2014.1875,5.146686534,10.12568306,0.055331601,27.60960315,94.67213115,0.269103288,3.120218579,222.2349727,679.7213115,108.4159077,0.500303582,0.010110177,0.041336163,0.004222995,1
