label0_proba,label1_proba
0.392,0.608
0.476,0.524
0.028,0.972
0.576,0.424
0.204,0.796
0.548,0.452
0.588,0.412
0.136,0.864
0.084,0.916
0.46,0.54
0.44,0.56
0.068,0.932
0.088,0.912
0.324,0.676
0.196,0.804
0.2,0.8
0.24,0.76
0.14,0.86
0.416,0.584
0.104,0.896
0.484,0.516
0.48,0.52
0.392,0.608
0.164,0.836
0.72,0.28
0.74,0.26
0.056,0.944
0.124,0.876
0.228,0.772
0.064,0.936
0.084,0.916
0.056,0.944
0.388,0.612
0.48,0.52
0.792,0.208
0.14,0.86
0.116,0.884
0.216,0.784
0.748,0.252
0.12,0.88
0.38,0.62
0.36,0.64
0.524,0.476
0.108,0.892
0.608,0.392
0.092,0.908
0.324,0.676
0.048,0.952
0.464,0.536
0.188,0.812
0.624,0.376
0.232,0.768
0.512,0.488
0.264,0.736
0.36,0.64
0.764,0.236
0.68,0.32
0.232,0.768
0.436,0.564
0.28,0.72
0.404,0.596
0.096,0.904
0.728,0.272
0.2,0.8
0.188,0.812
0.3,0.7
0.428,0.572
0.364,0.636
0.108,0.892
0.036,0.964
0.552,0.448
0.656,0.344
0.22,0.78
0.532,0.468
0.664,0.336
0.772,0.228
0.264,0.736
0.32,0.68
0.36,0.64
0.732,0.268
0.34,0.66
0.868,0.132
0.5,0.5
0.408,0.592
0.128,0.872
0.648,0.352
0.044,0.956
0.224,0.776
0.596,0.404
0.56,0.44
0.316,0.684
0.676,0.324
0.364,0.636
0.036,0.964
0.58,0.42
0.644,0.356
0.556,0.444
0.156,0.844
