label0_proba,label1_proba
0.22,0.78
0.664,0.336
0.04,0.96
0.48,0.52
0.312,0.688
0.364,0.636
0.028,0.972
0.628,0.372
0.04,0.96
0.04,0.96
0.176,0.824
0.044,0.956
0.204,0.796
0.708,0.292
0.336,0.664
0.324,0.676
0.088,0.912
0.404,0.596
0.216,0.784
0.332,0.668
0.152,0.848
0.064,0.936
0.24,0.76
0.408,0.592
0.284,0.716
0.384,0.616
0.44,0.56
0.236,0.764
0.368,0.632
0.396,0.604
0.312,0.688
0.164,0.836
0.08,0.92
0.644,0.356
0.416,0.584
0.204,0.796
0.66,0.34
0.424,0.576
0.024,0.976
0.336,0.664
0.42,0.58
0.332,0.668
0.704,0.296
0.652,0.348
0.06,0.94
0.464,0.536
0.368,0.632
0.08,0.92
0.812,0.188
0.216,0.784
0.828,0.172
0.796,0.204
0.08,0.92
0.276,0.724
0.204,0.796
0.756,0.244
0.332,0.668
0.412,0.588
0.776,0.224
0.156,0.844
0.312,0.688
0.416,0.584
0.66,0.34
0.312,0.688
0.66,0.34
0.54,0.46
0.156,0.844
0.04,0.96
0.596,0.404
0.26,0.74
0.592,0.408
0.616,0.384
0.052,0.948
0.176,0.824
0.036,0.964
0.1,0.9
0.468,0.532
0.524,0.476
0.944,0.056
0.616,0.384
0.564,0.436
0.496,0.504
0.732,0.268
0.148,0.852
0.136,0.864
0.716,0.284
0.52,0.48
0.1,0.9
0.276,0.724
0.536,0.464
0.696,0.304
0.112,0.888
0.62,0.38
0.108,0.892
0.148,0.852
0.912,0.088
0.312,0.688
