pid,modal,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_shape_Elongation,original_shape_Flatness,original_shape_LeastAxisLength,original_shape_MajorAxisLength,original_shape_Maximum2DDiameterColumn,original_shape_Maximum2DDiameterRow,original_shape_Maximum2DDiameterSlice,original_shape_Maximum3DDiameter,original_shape_MeshVolume,original_shape_MinorAxisLength,original_shape_Sphericity,original_shape_SurfaceArea,original_shape_SurfaceVolumeRatio,original_shape_VoxelVolume,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_JointAverage,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_Imc1,original_glcm_Imc2,original_glcm_Idm,original_glcm_Idmn,original_glcm_Id,original_glcm_Idn,original_glcm_InverseVariance,original_glcm_MaximumProbability,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,pCR_label
1,dceph0,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},0192695a68d49e519ae0b284f7232c748744bd28,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999971389770508)","(512, 512, 104)",132.7190312,0,2777,53ec09121d1386ad84b594c296aa208865c64e1a,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 104)","(156, 264, 66, 21, 17, 1)",155,1,"(165.2516129032258, 272.7806451612903, 66.0)","(64.21290165916567, 6.1492647128720535, 73.2313003540039)",0.458191836,0,0,12.92406647,9.844199538,6.562799692,13.67249936,13.67249936,61.76394586,5.921701741,0.546140397,138.3576505,2.240103812,69.54052016,624,948.8,101096792,2.296083807,157.5,6.073131168,1043,101.0127784,796.4129032,815,194,849,67.31932882,807.6121394,-1.261636148,45356925.82,0.245868887,17963.85532,58.74233605,7.603717949,156.341685,-14.26675504,4.924743635,1.223919192,0.594959887,0.75803108,1.502187445,0.624002756,0.091244689,3.889746886,-0.218098191,0.765499896,0.664277548,0.988457628,0.681738844,0.934334795,0.486931945,0.169445998,2.985742464,1.537165707,23.00451684,0.224340145,2.26936281,55.69790115,3.363025266,201.0216755,0.073218434,0.032392728,3.631567516,55.06195035,0.530376105,0.661290323,1.013832113,0.752937809,40.96683334,0.027899968,4.939393939,0.149678604,4.628099174,52.36363636,74.33333333,4455.818182,1.331076348,0.060330969,9.060606061,0.27456382,0.529092819,27.78849051,0.050139436,4.309101316,0.212903226,52.271809,4.664415557,26.00645161,0.167783559,3.212486993,38.10967742,1.848241415,57.47096774,16.97419355,1056.864516,0.29828794,0.027304331,0.19088612,10.20887389,0.012249585,1
1,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},2009fabc1eefa2e17912959c7ab470898d5c94d6,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999971389770508)","(512, 512, 104)",210.704695,0,3087,53ec09121d1386ad84b594c296aa208865c64e1a,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 104)","(156, 264, 66, 21, 17, 1)",155,1,"(165.2516129032258, 272.7806451612903, 66.0)","(64.21290165916567, 6.1492647128720535, 73.2313003540039)",0.458191836,0,0,12.92406647,9.844199538,6.562799692,13.67249936,13.67249936,61.76394586,5.921701741,0.546140397,138.3576505,2.240103812,69.54052016,620.2,1140.8,135775667,3.074918816,244,3.999093291,1440,167.1136733,910.6516129,947,168,1272,109.3928217,935.9337825,-0.672547838,60915551.67,0.143558793,46685.68508,79.70837374,8.775070124,711.0450564,-27.33277743,13.44400688,2.633419192,0.664982099,1.141768065,1.916959035,1.264710851,0.040484195,5.152068148,-0.262678361,0.881061992,0.560541601,0.987345271,0.597368556,0.929489523,0.47244536,0.098048951,3.744164871,4.019356517,15.17866836,0.131458312,5.337883576,76.35900926,2.474122837,206.9032167,0.049037601,0.029016694,4.038699038,72.42118135,0.619108977,0.74516129,0.621521226,0.812277312,60.44889017,0.026090802,6.543859649,0.114804555,6.624192059,68.12280702,19.35087719,1728.368421,0.27220224,0.041571048,17.59649123,0.308710372,0.564354941,33.23573011,0.032079355,4.578785743,0.367741935,11.95629424,5.166046345,29.03870968,0.187346514,2.824308012,22.2516129,4.711592092,79.11612903,12.05806452,1053.464516,0.171614947,0.025191215,0.286910468,18.76710563,0.013294484,1
1,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},673100b98914ecf5acc095b4131051b0184000a8,3D,"(0.5468999743461609, 0.5468999743461609, 1.4999971389770508)","(512, 512, 104)",40.77737621,-496,7221,53ec09121d1386ad84b594c296aa208865c64e1a,"(0.5468999743461609, 0.5468999743461609, 1.5)","(512, 512, 104)","(156, 264, 66, 21, 17, 1)",155,1,"(165.2516129032258, 272.7806451612903, 66.0)","(64.21290165916567, 6.1492647128720535, 73.2313003540039)",0.458191836,0,0,12.92406647,9.844199538,6.562799692,13.67249936,13.67249936,61.76394586,5.921701741,0.546140397,138.3576505,2.240103812,69.54052016,267.8,470,21363656,1.748359196,106,3.091668105,601,64.88432882,362.4387097,352,222,379,45.88538568,371.2546817,0.652070843,9584772.586,0.341768991,6468.220437,5.011756022,2.119520591,20.27825469,2.646976872,2.59442829,0.517150738,0.669054253,0.476268842,1.090179854,0.283026984,0.144319533,3.154455281,-0.249564245,0.759845058,0.765953768,0.980434907,0.768679228,0.921595238,0.440497183,0.266964646,2.605958651,0.777894757,28.87041266,0.335309504,0.750887121,5.557713599,4.867641638,23.1591029,1.92591266,0.356858693,3.382742116,33.72121263,0.382898261,0.553225806,1.409074311,0.622708413,3.614132965,0.204308804,3.933333333,0.262222222,1.288888889,6.733333333,239.9333333,1148.666667,75.3822963,0.386462963,1.666666667,0.111111111,0.252364546,2.809274002,0.046289697,3.906890596,0.096774194,133.1555556,4.350373477,25.52903226,0.164703434,3.031592092,52.97419355,0.709094693,5.187096774,23.95483871,109.3806452,10.2133405,0.381799283,0.08993035,0.622308395,0.027172993,1
2,dceph0,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},ea62f1665e93b2911d2afcf4b2579ae1ff346c4b,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)",39.21299599,0,662,03b3bff206345c901f0c7ab94408f7c404e7a0ae,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)","(104, 270, 19, 31, 40, 9)",3069,1,"(120.73737373737374, 290.3580971000326, 22.90713587487781)","(77.90056220088343, 7.181163221549127, 8.127704010680972)",0.675662877,0.568662978,10.34182613,18.18621314,16.59330458,20.70268166,20.93712967,21.66711894,1169.028156,12.28774908,0.55932813,959.4759878,0.820746688,1187.062298,117,165,63512183,0.158695817,24,3.719699612,190,14.7031738,142.6161616,144,37,153,10.20719245,143.8566942,-0.553036932,24565955.65,0.954801274,355.3788981,3.944589748,1.985470167,0.06165917,-0.042271386,0.033619919,0.023641506,0.160950927,0.023641506,0.161141438,0.023073477,0.94829581,0.210126685,-0.071483996,0.103607957,0.988179247,0.995271699,0.988179247,0.992119498,0.023641506,0.973649414,0.186485179,0.014315356,593.7777074,0.824991158,0.087504421,3.706527617,43.99311778,175.5145086,11.11277008,0.323368096,3.435623009,108.3621801,0.141389621,0.231195328,15.94693817,0.312504,0.985134247,0.144346438,16.11111111,0.895061728,0.052469136,1.166666667,499362.0556,1997362.722,124861.8889,0.958333333,2.777777778,0.154320988,0.250825171,0.250825189,0.250825166,2.821888196,0.005865103,470291.8056,3.80843973,416.8755295,0.13583432,39.79785706,2930.285109,0.022599363,3.930596285,480.3326817,1920.311176,120.338058,0.267350929,0.006905931,0.017227016,0.00432566,1
2,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},e4d0fe0f6f3ddc91ee3dc60eed399713660f94e3,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)",76.90008392,0,1184,03b3bff206345c901f0c7ab94408f7c404e7a0ae,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)","(104, 270, 19, 31, 40, 9)",3069,1,"(120.73737373737374, 290.3580971000326, 22.90713587487781)","(77.90056220088343, 7.181163221549127, 8.127704010680972)",0.675662877,0.568662978,10.34182613,18.18621314,16.59330458,20.70268166,20.93712967,21.66711894,1169.028156,12.28774908,0.55932813,959.4759878,0.820746688,1187.062298,242,363,290428761,1.143188236,65,2.805903428,431,37.4030476,304.1410883,307,140,291,26.97521235,307.6248159,-0.247473945,112335298.9,0.485692651,2131.225777,7.081834644,2.638431913,1.493733081,-0.368357167,0.771133177,0.291334509,0.448390977,0.287706138,0.8666806,0.205260609,0.326279848,1.970188566,-0.1588499,0.510852029,0.856509768,0.982926706,0.85675166,0.942579718,0.284531313,0.490563929,1.667481851,0.265616922,634.778431,0.475188241,0.327947758,5.971065427,10.77337858,81.17248751,1.673128955,0.218783464,3.305827169,416.2143077,0.295855941,0.434067724,4.27717328,0.538896077,2.792598981,0.137783543,9.153846154,0.352071006,1.640532544,6.115384615,173038.1154,1242088.846,27993.71127,0.56383547,6.846153846,0.263313609,0.511019482,3.717772687,0.263551281,3.393740932,0.008471815,159105.037,5.402695897,130.2883675,0.042453036,44.12785525,1490.590746,0.292983759,6.802215705,291.0651678,2270.733138,42.32935312,0.183463216,0.014119946,0.081595587,0.005116115,1
2,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},84128e7bea100b7045ef0c203adb52acd30aa298,3D,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)",17.11755193,-25,508,03b3bff206345c901f0c7ab94408f7c404e7a0ae,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 92)","(104, 270, 19, 31, 40, 9)",3069,1,"(120.73737373737374, 290.3580971000326, 22.90713587487781)","(77.90056220088343, 7.181163221549127, 8.127704010680972)",0.675662877,0.568662978,10.34182613,18.18621314,16.59330458,20.70268166,20.93712967,21.66711894,1169.028156,12.28774908,0.55932813,959.4759878,0.820746688,1187.062298,50,97,16695194,0.450229435,21,5.275302826,161,14.70937568,70.9273379,67,32,129,8.95509225,73.75598898,1.350060181,6457554.691,0.829400067,409.2586498,1.248258926,1.091277382,0.739835605,0.416662459,0.280590847,0.051146442,0.690076071,0.051146442,0.288963724,0.048381855,0.7857495,0.683965362,-0.446388076,0.565914762,0.974426779,0.989770712,0.974426779,0.982951186,0.051146442,0.883149397,0.63281892,0.082934322,559.8791499,0.716073234,0.141963383,1.517017662,36.45475505,40.97778217,35.32399827,0.870745584,3.660780848,122.2149345,0.145334983,0.252299672,13.20575866,0.316692557,0.555964114,0.256874667,6.25,0.78125,0.109375,3.625,972819.125,993126.5,967742.2813,0.34375,1.25,0.15625,0.261103767,1.044415021,0.065275954,2.75,0.002606712,825650.9844,4.325072834,341.6432063,0.111320693,38.79057617,2545.428804,0.085299967,1.282502444,456.5927012,534.2554578,437.1770121,0.929374389,0.005239867,0.01029747,0.003975467,1
3,dceph0,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},8a9c6093661aeb9f31a586d293432c23a4de4bc8,3D,"(0.5077999830245972, 0.5077999830245972, 1.5000035762786865)","(512, 512, 112)",55.59410776,0,719,a80e3654fc27e460694304d6398d46ccd971b788,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 112)","(127, 298, 39, 6, 17, 4)",200,1,"(129.195, 305.975, 40.65)","(68.44977386891843, -55.750602796673775, 18.882600402832026)",0.554377133,0.335820765,2.843876474,8.468435449,6.19038925,8.551732581,8.266384822,9.521904541,73.42604434,4.694706961,0.727210423,116.6068646,1.588085884,77.35843126,123,181,4827327,0.253360711,31.25,3.039911896,206,18.36225,153.655,155,81,125,13.25770635,155.3596955,-0.412212222,1867172.22,0.93185,526.775975,4.05150723,2.012398247,0.102171195,0.012796588,0.081146985,0.074351212,0.047170462,0.074351212,0.379216057,0.068559804,0.855180011,0.534559231,-0.035279297,0.110620047,0.962824394,0.992564879,0.962824394,0.981412197,0.074351212,0.923734547,0.460208019,0.038874549,74.83186501,0.843196944,0.084181877,4.042164258,10.76195914,43.08142237,2.731107187,0.280459974,2.319095243,26.80542065,0.283827675,0.436923077,2.406792605,0.434490536,1.782271008,0.136543251,1.8,0.36,0.8,4.8,7452.8,29810.2,1864.561111,0.494444444,1.4,0.28,0.472227591,2.472243699,0.250001342,2.321928095,0.025,5852.8,4.309810177,12.79,0.06395,33.7604,186.37,0.034975,4.015,278.37,1113.285,69.69125,0.262916667,0.020317989,0.098771958,0.009037831,0
3,dceph3,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},39c935b0b42814b212f782d0374bfb02abd4c844,3D,"(0.5077999830245972, 0.5077999830245972, 1.5000035762786865)","(512, 512, 112)",82.43834615,0,1037,a80e3654fc27e460694304d6398d46ccd971b788,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 112)","(127, 298, 39, 6, 17, 4)",200,1,"(129.195, 305.975, 40.65)","(68.44977386891843, -55.750602796673775, 18.882600402832026)",0.554377133,0.335820765,2.843876474,8.468435449,6.19038925,8.551732581,8.266384822,9.521904541,73.42604434,4.694706961,0.727210423,116.6068646,1.588085884,77.35843126,195.6,349.1,15881781,1.371592313,80.25,2.670812886,374,46.3925,275.825,281,121,253,33.01273438,281.795857,-0.500551334,6142948.319,0.4194,3329.474375,5.854569076,2.394257354,2.516097126,-0.454569996,0.97905483,0.496147282,0.322960641,0.47155398,1.042837881,0.263972804,0.214917255,2.431208057,-0.099630665,0.431877273,0.76668234,0.951520347,0.768321893,0.88334117,0.450034842,0.280653761,1.913949017,0.368800528,54.89350853,0.414189571,0.428990158,5.025134441,3.594383285,21.71999086,0.845878161,0.324514553,2.597023885,66.88559771,0.481540665,0.661538462,0.86288435,0.698098714,3.130070845,0.259703371,5.666666667,0.62962963,0.444444444,2.222222222,1822.888889,10295.77778,380.7160494,0.817901235,1.888888889,0.209876543,0.378022501,0.378215644,0.37799676,2.419381946,0.045,1329.061728,4.923638853,13.31,0.06655,19.95,83.88,0.4124,5.52,115.99,793.23,20.99111111,0.281111111,0.03958742,0.098866415,0.028284788,0
3,t2,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},bf675ec9b4254ed35c3c6ea74bb32806e9f1c2c3,3D,"(0.5077999830245972, 0.5077999830245972, 1.5000035762786865)","(512, 512, 112)",22.64450482,-126,1576,a80e3654fc27e460694304d6398d46ccd971b788,"(0.5077999830245972, 0.5077999830245972, 1.5)","(512, 512, 112)","(127, 298, 39, 6, 17, 4)",200,1,"(129.195, 305.975, 40.65)","(68.44977386891843, -55.750602796673775, 18.882600402832026)",0.554377133,0.335820765,2.843876474,8.468435449,6.19038925,8.551732581,8.266384822,9.521904541,73.42604434,4.694706961,0.727210423,116.6068646,1.588085884,77.35843126,165.8,335,14160251,1.611596311,84,3.185404876,356,51.7075,257.975,268,61,295,36.51988735,266.0850522,-0.792316024,5477074.018,0.36265,4250.154375,10.56136419,3.202146823,8.03128335,-1.380503144,1.683006053,0.455912881,0.572807135,0.447459795,0.959992068,0.236594544,0.182885179,2.676602695,-0.250001932,0.712661765,0.777115411,0.973330767,0.77767895,0.91078981,0.440063346,0.255242753,2.221164403,0.534729733,46.6748808,0.359744404,0.610295604,9.544557438,4.082509236,43.83665688,0.509494905,0.158674042,2.89645087,65.40474059,0.470890028,0.647692308,0.946239869,0.667066992,5.949244224,0.116659104,1.666666667,0.277777778,1.138888889,5.833333333,2404.666667,25228.16667,265.9270833,0.445601852,1.333333333,0.222222222,0.343946131,0.845128852,0.218788647,2.584962501,0.03,1293.555556,5.046692086,16.26,0.0813,15.5244,72.53,0.587775,10.105,118.75,1384.875,12.70538194,0.143020833,0.026786792,0.162353181,0.009774758,0
4,dceph0,v3.0.1,1.19.3,2.0.2,1.1.1,3.6.2,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 100, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 100, 'weightingNorm': None, 'geometryTolerance': 0.001}",{'Original': {}},3af87e9ad067713e6857fa726c451079982d3032,3D,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)",59.68098038,0,724,32fea1767ab16dc7b02c70fca52a76666e8855d5,"(0.46880000829696655, 0.46880000829696655, 1.5)","(512, 512, 88)","(426, 218, 47, 9, 18, 5)",255,1,"(430.9843137254902, 226.17254901960786, 48.94509803921569)","(-79.70144808035272, 17.98330763134301, 39.01844661937041)",0.477869859,0.328065345,3.142237127,9.578083061,6.838779053,10.60716751,8.307157312,11.03369781,80.06621419,4.577077201,0.645308248,139.2140617,1.738736658,84.06334378,173,285.2,14064755,1.045458862,60.5,3.636787387,385,35.26366782,230.5529412,231,66,319,24.82043548,234.8529369,0.019519418,4636589.548,0.577577855,2001.243276,7.99860579,2.821248563,1.088162434,-0.148407579,0.531145965,0.376094953,0.17202317,0.360813692,0.972223583,0.24221729,0.382750181,1.911226118,-0.05674032,0.296474641,0.82112128,0.978146437,0.822140031,0.928346637,0.347442587,0.576475647,1.514125968,0.22681023,74.67424259,0.481177738,0.333442487,7.718280108,4.243280408,35.77564379,0.555540173,0.159789421,2.602882622,67.16441871,0.420842484,0.603016591,1.157182845,0.651139532,4.775527136,0.114655043,5,0.416666667,0.916666667,7.166666667,2905.916667,25776.08333,333.9710648,0.254050926,1.833333333,0.152777778,0.221886321,1.776446478,0.100176099,3.418295834,0.047058824,2454.354167,4.764400098,14.39607843,0.05645521,29.55933872,147.2823529,0.248612072,8.066666667,157.7372549,1383.894118,18.63730937,0.14537037,0.030018772,0.211517347,0.00847069,1
